,productionLine,ife_count,production_amt,ife_count_rel,production_amt_rel,expected_ife_count,chi_stat_contributor,ExpectedProduction,ExpectedEmergencies,pooled_prop,z_val,odds_ratio,residual
0,ATR 72,2.0,1233.0,0.0031545741324921135,0.02852977925864223,18.087880049979173,14.309022604493437,1217.1447140381283,17.85528596187175,0.028162911611785094,-3.8340370895785525,0.11057127725713234,-0.025375205126150116
1,Airbus A220,3.0,367.0,0.00473186119873817,0.008491832106992456,5.383821555833217,1.0554965745285816,364.6506430721518,5.349356927848217,0.008437471495028733,-1.0275442446112206,0.5572250062317882,-0.0037599709082542856
2,Airbus A300,10.0,561.0,0.015772870662460567,0.012980702485075662,8.22976537553797,0.3807800687682885,562.7446410654018,8.255358934598194,0.013021070874760558,0.6156679414350953,1.2151014693230318,0.0027921681773849048
3,Airbus A319,44.0,1484.0,0.0694006309148265,0.03433754454162617,21.77000323939099,22.699709804476417,1505.9086016601295,22.091398339870473,0.03484447687676731,4.779327329796577,2.021129694661032,0.035063086373200325
4,Airbus A320,99.0,4752.0,0.15615141955835962,0.10995418575593503,69.71095376926282,12.305788154120844,4780.865593359482,70.13440664051811,0.11062209249293077,3.6815790269242052,1.4201498422712933,0.04619723380242459
5,Airbus A320 NEO,1.0,3607.0,0.0015772870662460567,0.0834605951224027,52.91401730760331,50.93291589158695,3555.8365410927668,52.16345890723342,0.08227674906503694,-7.448746756555476,0.01889858398364904,-0.08188330805615664
6,Airbus A321,35.0,1784.0,0.055205047318611984,0.04127909667268268,26.17094729048082,2.9785766209472113,1792.701404724984,26.298595275015963,0.04148043418772234,1.745761744852435,1.3373608380133255,0.013925950645929303
7,Airbus A330,32.0,1615.0,0.050473186119873815,0.037368688972187515,23.691748808366885,2.913547599276241,1623.188132810362,23.811867189637873,0.03755815014138466,1.7229127027305373,1.3506812122159173,0.0131044971476863
8,Airbus A340,3.0,380.0,0.00473186119873817,0.008792632699338238,5.5745291313804435,1.1890152678572823,377.4626926936058,5.5373073063942355,0.008733923196205418,-1.0909152303208842,0.5381620454922796,-0.004060771500600068
9,Airbus A350,2.0,623.0,0.0031545741324921135,0.014415289925494007,9.139293812763201,5.5769643901566015,615.9639241083645,9.036075891635502,0.014252485633494481,-2.374762077451065,0.2188352886967001,-0.011260715793001894
10,Airbus A380,5.0,251.0,0.007886435331230283,0.005807765282983942,3.6821231894118194,0.47168418831840087,252.2988233147861,3.7011766852139014,0.0058378181154793395,0.6820463952521002,1.3579121997813162,0.0020786700482463413
12,BAe Avro RJ,2.0,387.0,0.0031545741324921135,0.00895460224906289,5.677217825905873,2.3817882902885303,383.37594636504605,5.624053634953936,0.008870747058286966,-1.546205139568184,0.35228523219132857,-0.005800028116570778
13,Boeing 717,3.0,156.0,0.00473186119873817,0.003609607108149382,2.2884909065667083,0.22121354670259769,156.70122229316792,2.2987777068320714,0.003625832345160996,0.46672210095127104,1.310907546711963,0.0011222540905887883
14,Boeing 727,1.0,1832.0,0.0015772870662460567,0.04238974501365172,26.87509833865519,24.912307504828235,1806.4989966250114,26.5010033749886,0.04179968986591261,-5.097536294302687,0.03720916617304699,-0.040812457947405664
15,Boeing 737 Classic,5.0,1988.0,0.007886435331230283,0.045999352121801104,29.1635892452219,20.02082255041584,1964.1857611967528,28.814238803247285,0.0454483261880872,-4.573995964622454,0.17144666103878792,-0.03811291679057082
16,Boeing 737 NG,157.0,6960.0,0.2476340694006309,0.1610440094405109,102.1019019852839,29.517581034560543,7014.104396606768,102.89560339323178,0.16229590440572836,5.870177042428268,1.537679484390297,0.08659005996012001
17,Boeing 737 Original,1.0,1150.0,0.0015772870662460567,0.02660928316904993,16.870285529177657,14.929561348681155,1134.3591626379641,16.64083736203594,0.026247377542643436,-3.913906640324532,0.059275819503497466,-0.025031996102803874
18,Boeing 747,17.0,1574.0,0.026813880126182965,0.036420010180943124,23.09028645471794,1.606371976946265,1567.9977652102527,23.00223478974733,0.03628112742862355,-1.284148213420936,0.7362403248369602,-0.009606130054760159
19,Boeing 757,25.0,1050.0,0.03943217665615142,0.024295432458697766,15.403304178814384,5.979013957994192,1059.457949466387,15.542050533613063,0.024514275289610508,2.4467789858226157,1.6230283911671923,0.015136744197453651
