flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,id,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,registrations
ARG1511_20180101,ARG1511,AR1511,e06442,LV-FQB,B738,SACO,SABE,SABE,,,,,,,,,14924,False,36886,E06442,Aerolineas Argentinas,738,B738,B738,737-86J,170.0,2011-09-06,2011-09-06,2011-09-21,2013-12-20,Boeing 737-800,2.0,Jet,False,Boeing 737 NG,13.2,True,3,"[{'reg': 'N814VL', 'active': True, 'hexIcao': 'AB1A1E', 'airlineName': 'Avelo Airlines', 'registrationDate': '2024-08-27'}, {'reg': 'LV-FQB', 'active': False, 'hexIcao': 'E06442', 'airlineName': 'Aerolineas Argentinas', 'registrationDate': '2013-12-20'}, {'reg': 'D-ABKY', 'active': False, 'airlineName': 'Air Berlin', 'registrationDate': '2011-09-21'}]"
DAL14_20180101,DAL14,DL14,a14c29,N183DN,B763,KATL,,EDDF,,,,,,,,,7594,False,27110,A14C29,Delta Air Lines,76W,B763,B763,767-332ER,208.0,1993-04-21,1993-04-21,1993-04-29,1993-04-29,Boeing 767-300,2.0,Jet,False,Boeing 767,31.6,True,1,"[{'reg': 'N183DN', 'active': False, 'hexIcao': 'A14C29', 'airlineName': 'Delta Air Lines', 'registrationDate': '1993-04-29'}]"
JBU263_20180108,JBU263,B6263,aa600a,N768JB,A320,KJFK,,KSEA,,,,,,,,,15404,True,3760,AA600A,JetBlue Airways,320,A320,A320,320-232,150.0,2009-01-12,2009-01-12,2009-01-29,2009-01-29,Airbus A320,2.0,Jet,False,Airbus A320,15.9,True,1,"[{'reg': 'N768JB', 'active': True, 'hexIcao': 'AA600A', 'airlineName': 'JetBlue Airways', 'registrationDate': '2009-01-29'}]"
DAL65_20180108,DAL65,DL65,ab2855,N818NW,A333,KATL,KLAX,KLAX,,,,,,,,,27365,True,857,AB2855,Delta Air Lines,330,A330,A333,330-323X,293.0,2007-07-04,2007-07-04,2007-08-01,2009-12-06,Airbus A330,2.0,Jet,False,Airbus A330,17.4,True,2,"[{'reg': 'N818NW', 'active': True, 'hexIcao': 'AB2855', 'airlineName': 'Delta Air Lines', 'registrationDate': '2009-12-06'}, {'reg': 'N818NW', 'active': False, 'hexIcao': 'AB2855', 'airlineName': 'Northwest Airlines', 'registrationDate': '2007-08-02'}]"
EDW24_20180111,EDW24,WK24,4b1901,HB-JMF,A343,LSZH,LSZH,MMUN,LSZH,engine,return,unknown,4b382175,engine,return,unknown,22702,True,561,4B1901,Edelweiss Air,340,A340,A343,340-313X,314.0,2003-10-25,2003-10-25,2003-11-28,2017-03-14,Airbus A340,4.0,Jet,False,Airbus A340,21.1,True,2,"[{'reg': 'HB-JMF', 'active': True, 'hexIcao': '4B1901', 'airlineName': 'Edelweiss Air', 'registrationDate': '2017-03-14'}, {'reg': 'HB-JMF', 'active': False, 'hexIcao': '4B1901', 'airlineName': 'SWISS', 'registrationDate': '2003-11-28'}]"
ASA111_20180112,ASA111,AS111,a602ab,N487AS,B739,KLAS,,PANC,,,,,,,,,19304,True,44108,A602AB,Alaska Airlines,737,,B739,B737-990ER,,2015-09-19,2015-09-19,2015-10-09,2015-11-02,Boeing 737,2.0,Jet,False,Boeing 737,9.2,True,1,"[{'reg': 'N487AS', 'active': True, 'hexIcao': 'A602AB', 'airlineName': 'Alaska Airlines', 'registrationDate': '2015-11-02'}]"
ONE8511_20180113,ONE8511,O68511,e4919d,PR-OCX,A332,KMIA,,SBGR,,,,,,,,,90493,False,1657,,Avianca Brazil,332,A332,A332,330-243,,2015-07-03,,,2017-03-30,Airbus A330-200,2.0,Jet,False,Airbus A330,9.4,True,2,"[{'reg': 'F-UJCT', 'active': True, 'hexIcao': '3B7543', 'airlineName': 'French Bee', 'registrationDate': '2020-12-15'}, {'reg': 'PR-OCX', 'active': False, 'airlineName': 'Avianca Brazil', 'registrationDate': '2017-03-30'}]"
BAW882_20180115,BAW882,BA882,406532,G-EUYM,A320,EGLL,,UKBB,EDDT,medical,diverted,unknown,,,,,20262,True,4791,406532,British Airways,320,A320,A320,320-232,180.0,2011-07-15,2011-07-15,2011-08-05,2011-08-05,Airbus A320,2.0,Jet,False,Airbus A320,13.4,True,1,"[{'reg': 'G-EUYM', 'active': True, 'hexIcao': '406532', 'airlineName': 'British Airways', 'registrationDate': '2011-08-05'}]"
ENY3342_20180117,ENY3342,AA3342,a272b8,N257NN,E75L,KDFW,,KLIT,,,,,,,,,185454,True,17000674,A272B8,Envoy Air,E75,E175,E175,175LR,76.0,2017-06-19,,,2017-07-14,Embraer 175,2.0,Jet,False,Embraer ERJ170,7.4,True,1,"[{'reg': 'N257NN', 'active': True, 'hexIcao': 'A272B8', 'airlineName': 'Envoy Air', 'registrationDate': '2017-07-14'}]"
WJA506_20180122,WJA506,WS506,c0499b,C-GBWS,B736,CYXE,,CYYZ,,,,,,,,,13000,False,34288,C0499B,WestJet,736,B736,B736,737-6CT,113.0,2006-04-17,2006-04-17,2006-04-28,2006-04-28,Boeing 737-600,2.0,Jet,False,Boeing 737 NG,18.6,True,1,"[{'reg': 'C-GBWS', 'active': False, 'hexIcao': 'C0499B', 'airlineName': 'WestJet', 'registrationDate': '2006-04-28'}]"
